"id_str","time_UTC","time_East_US","local_hour","afinn_score","bing_positive","bing_negative","bing_nett"
785854588654092288,2016-10-11 14:48:29,2016-10-11 10:48:29,10,1.5,1,3,-2
785863826361184256,2016-10-11 15:25:11,2016-10-11 11:25:11,11,1.5,1,1,0
785898532645502976,2016-10-11 17:43:06,2016-10-11 13:43:06,13,0.5,0,2,-2
785910334427058176,2016-10-11 18:29:59,2016-10-11 14:29:59,14,-1,0,1,-1
785913754194104320,2016-10-11 18:43:35,2016-10-11 14:43:35,14,-2,0,1,-1
785957064480653312,2016-10-11 21:35:41,2016-10-11 17:35:41,17,2,1,0,1
786007502639038464,2016-10-12 00:56:06,2016-10-11 20:56:06,20,1,NA,NA,NA
786054986534969344,2016-10-12 04:04:47,2016-10-12 00:04:47,0,2,1,0,1
786201435486781440,2016-10-12 13:46:43,2016-10-12 09:46:43,9,-1.66666666666667,1,2,-1
786204978629185536,2016-10-12 14:00:48,2016-10-12 10:00:48,10,-1,NA,NA,NA
786285509668696064,2016-10-12 19:20:48,2016-10-12 15:20:48,15,-0.5,2,2,0
786340623804751872,2016-10-12 22:59:48,2016-10-12 18:59:48,18,1,NA,NA,NA
786565208663785472,2016-10-13 13:52:14,2016-10-13 09:52:14,9,1,NA,NA,NA
786589172911964160,2016-10-13 15:27:27,2016-10-13 11:27:27,11,2,1,0,1
786658827429154816,2016-10-13 20:04:14,2016-10-13 16:04:14,16,3,1,0,1
786691718062235648,2016-10-13 22:14:56,2016-10-13 18:14:56,18,2.66666666666667,3,0,3
786700864752914432,2016-10-13 22:51:17,2016-10-13 18:51:17,18,-0.333333333333333,2,1,1
786710113163812864,2016-10-13 23:28:02,2016-10-13 19:28:02,19,1,NA,NA,NA
786716631644897280,2016-10-13 23:53:56,2016-10-13 19:53:56,19,1,NA,NA,NA
786737820669009920,2016-10-14 01:18:07,2016-10-13 21:18:07,21,0.666666666666667,2,0,2
786950598826532864,2016-10-14 15:23:38,2016-10-14 11:23:38,11,-1,0,1,-1
787012170630455296,2016-10-14 19:28:18,2016-10-14 15:28:18,15,1,2,0,2
787099202291634176,2016-10-15 01:14:08,2016-10-14 21:14:08,21,3,3,0,3
787127225581707264,2016-10-15 03:05:29,2016-10-14 23:05:29,23,2,1,0,1
787266044213723136,2016-10-15 12:17:06,2016-10-15 08:17:06,8,1,NA,NA,NA
787316515632713728,2016-10-15 15:37:39,2016-10-15 11:37:39,11,-1,1,1,0
787320326573228032,2016-10-15 15:52:48,2016-10-15 11:52:48,11,3,1,0,1
787320961934688256,2016-10-15 15:55:19,2016-10-15 11:55:19,11,-2,0,1,-1
787355131062943744,2016-10-15 18:11:06,2016-10-15 14:11:06,14,1.5,1,0,1
787430717387055104,2016-10-15 23:11:27,2016-10-15 19:11:27,19,2,3,0,3
787443829146353664,2016-10-16 00:03:33,2016-10-15 20:03:33,20,2,1,0,1
787642321072513024,2016-10-16 13:12:17,2016-10-16 09:12:17,9,-1.25,1,4,-3
